GameDate, GameID, Visitor, Home
2026-04-02,0022501117,CLE,GSW
2026-04-02,0022501118,NOP,POR
2026-04-02,0022501119,SAS,LAC
2026-04-03,0022501120,IND,CHA
2026-04-03,0022501121,MIN,PHI
2026-04-03,0022501122,ATL,BKN
2026-04-03,0022501123,CHI,NYK
2026-04-03,0022501124,UTA,HOU
2026-04-03,0022501125,TOR,MEM
2026-04-03,0022501126,BOS,MIL
2026-04-03,0022501127,ORL,DAL
2026-04-03,0022501128,NOP,SAC
2026-04-04,0022501129,WAS,MIA
2026-04-04,0022501130,SAS,DEN
2026-04-04,0022501131,DET,PHI
2026-04-05,0022501132,TOR,BOS
2026-04-05,0022501133,WAS,BKN
2026-04-05,0022501134,PHX,CHI
2026-04-05,0022501135,MEM,MIL
2026-04-05,0022501136,IND,CLE
2026-04-05,0022501137,CHA,MIN
2026-04-05,0022501138,ORL,NOP
2026-04-05,0022501139,UTA,OKC
2026-04-05,0022501140,LAL,DAL
2026-04-05,0022501141,LAC,SAC
2026-04-05,0022501142,HOU,GSW
2026-04-06,0022501143,NYK,ATL
2026-04-06,0022501144,DET,ORL
2026-04-06,0022501145,CLE,MEM
2026-04-06,0022501146,PHI,SAS
2026-04-06,0022501147,POR,DEN
2026-04-07,0022501148,CHI,WAS
2026-04-07,0022501149,CHA,BOS
2026-04-07,0022501150,MIL,BKN
2026-04-07,0022501151,MIA,TOR
2026-04-07,0022501152,MIN,IND
2026-04-07,0022501153,UTA,NOP
2026-04-07,0022501154,SAC,GSW
2026-04-07,0022501155,OKC,LAL
2026-04-07,0022501156,DAL,LAC
2026-04-07,0022501157,HOU,PHX
2026-04-08,0022501158,ATL,CLE
2026-04-08,0022501159,MIN,ORL
2026-04-08,0022501160,MIL,DET
2026-04-08,0022501161,POR,SAS
2026-04-08,0022501162,MEM,DEN
2026-04-08,0022501163,OKC,LAC
2026-04-08,0022501164,DAL,PHX
2026-04-09,0022501165,MIA,TOR
2026-04-09,0022501166,CHI,WAS
2026-04-09,0022501167,IND,BKN
